aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF21aaihgbk2664364751715",true,54.3194633,false,"",100,100,100,"",2,false,-1,100,100,60418.364756899886,"ZTF21aaihgbk",2689427912915015000,2664364751715,274.3331918,"","ztf",0.053509000688791275,0.07672300189733505,-99999,0.10798200219869614,0.000003996699888375588,-99999,20.100900650024414,-99999,30,797,-99999,26.240800857543945,0.021875599399209023,0.0000020746999780385522,"61",1,-99999,17,797120217,184.03500366210938,2.0513999462127686,8.625789642333984,-99999,-99999
"","ZTF21aaihgbk2667430311715",true,54.3194633,false,"",100,100,100,"",2,false,-1,100,100,60421.43031249987,"ZTF21aaihgbk",2689427912915015000,2667430311715,274.3331918,"","ztf",0.05368199944496155,0.07795900106430054,-99999,0.10392100363969803,0.0000038907801354071125,-99999,20.145000457763672,-99999,30,797,-99999,26.239299774169922,0.02170339971780777,0.0000020259999473637436,"61",1,-99999,17,797120217,186.11000061035156,1.592900037765503,9.662529945373535,-99999,-99999
"","ZTF21aaihgbk2680470871715",true,54.3194633,false,"",100,100,100,"",2,false,-1,100,100,60434.47087959992,"ZTF21aaihgbk",2689427912915015000,2680470871715,274.3331918,"","ztf",0.06459400057792664,0.0812000036239624,-99999,0.09703189879655838,0.000004316440026741475,-99999,20.829599380493164,-99999,30,797,-99999,26.246400833129883,0.022770699113607407,0.0000022418998923967592,"61",1,-99999,17,797120217,186.75999450683594,1.4658000469207764,5.1811699867248535,-99999,-99999
"","ZTF21aaihgbk2682410231715",true,54.3194837,false,"",100,100,100,"",1,false,-1,100,100,60436.41023149993,"ZTF21aaihgbk",2682427082915015000,2682410231715,274.3333292,"","ztf",0.062164999544620514,0.08011399954557419,-99999,-0.0721627026796341,0.000008296539817820303,-99999,20.4419002532959,-99999,30,797,-99999,26.27790069580078,0.031204599887132645,0.000004214999989926582,"61",1,-99999,17,797120117,116.07499694824219,2.655400037765503,5.427810192108154,-99999,-99999
"","ZTF21aaihgbk2663470173015",true,54.3194624,false,"",100,100,100,"",1,false,-1,100,100,60417.47017360013,"ZTF21aaihgbk",2693406651615015000,2663470173015,274.3330014,"","ztf",0.0545630007982254,0.07284999638795853,-99999,-0.11162800341844559,0.000005756230166298337,-99999,20.59269905090332,-99999,30,798,-99999,26.315900802612305,0.026631299406290054,0.000002914400056397426,"61",1,-99999,30,798120130,96.7853012084961,2.2636001110076904,5.288939952850342,-99999,-99999
"","ZTF21aaihgbk2666476273015",true,54.3193718,false,"",100,100,100,"",1,false,-1,100,100,60420.47627309989,"ZTF21aaihgbk",2695432841615015000,2666476273015,274.3329639,"","ztf",0.04870200157165527,0.07330100238323212,-99999,-0.05054980143904686,0.000005798799975309521,-99999,20.556699752807617,-99999,30,798,-99999,26.265399932861328,0.026722999289631844,0.0000029155000902392203,"61",1,-99999,30,798120130,95.80370330810547,1.9427000284194946,6.02495002746582,-99999,-99999
"","ZTF21aaihgbk2680470871615",true,54.3193718,false,"",0.12499627470970154,100,0.03213380967676343,"",2,false,1,20.470195770263672,18.995358638440955,60434.47087959992,"ZTF21aaihgbk",2695432841615015000,2680470871615,274.3329639,"","ztf",0.07113800197839737,0.07909099757671356,2.4590001106262207,0.09452489763498306,0.0000051361898840696085,54.3194580078125,20.7362003326416,0.4235440790653229,30,797,19.31800079345703,26.236400604248047,0.025653399527072906,0.000002556000026743277,"0",1,274.3330993652344,16,797120216,216.4759979248047,1.4830000400543213,5.635990142822266,0.19900000095367432,0.04899999871850014
"","ZTF21aaihgbk2666406402915",true,54.3193718,false,"",0.3052355945110321,0.03678418965811802,0.05615727178898965,"",2,false,1,20.916324615478516,19.07825167594038,60420.406400499865,"ZTF21aaihgbk",2695432841615015000,2666406402915,274.3329639,"","ztf",0.05381900072097778,0.07753899693489075,2.546999931335449,0.10673999786376953,0.00000394493008570862,54.31946563720703,20.15410041809082,0.4831709563732147,30,798,19.298999786376953,26.26689910888672,0.022471699863672256,0.00000196979999600444,"0",1,274.3331298828125,29,798120229,199.4290008544922,1.6924999952316284,9.351129531860352,0.2240000069141388,0.052000001072883606
"","ZTF21aaihgbk2666476272915",true,54.3194633,false,"",0.12467019259929657,0.05241342774412193,0.05694892393840728,"",1,false,1,20.425098419189453,19.574405649196073,60420.47627309989,"ZTF21aaihgbk",2689427912915015000,2666476272915,274.3331918,"","ztf",0.05124000087380409,0.07364200055599213,1.5720000267028809,-0.05349560081958771,0.000005988789780531079,54.319461822509766,20.499000549316406,0.16989876329898834,30,798,20.23699951171875,26.302400588989258,0.027408000081777573,0.000002944100060631172,"0",1,274.3330993652344,29,798120129,95.48320007324219,2.1484999656677246,6.329750061035156,0.07500000298023224,0.04100000113248825
"","ZTF21aaihgbk2667430311615",true,54.3193718,false,"",0.2243615686893463,0.0393296141023935,0.05412177466386128,"",2,false,1,20.562223434448242,19.01828233674254,60421.43031249987,"ZTF21aaihgbk",2695432841615015000,2667430311615,274.3329639,"","ztf",0.052267998456954956,0.0790029987692833,2.4590001106262207,0.10671699792146683,0.000004253769930073759,54.3194580078125,20.113000869750977,0.4235440790653229,30,797,19.31800079345703,26.228900909423828,0.023454900830984116,0.0000021215000742813572,"0",1,274.3330993652344,16,797120216,215.31100463867188,1.6506999731063843,9.925990104675293,0.19900000095367432,0.04899999871850014
